episode,npz,status,steps,zero_norm_frac,near0_norm_frac,mean_norm,p50_norm,p95_norm,max_norm,xyz_key,ctrl_shape,xyz_shape,x_exact0_frac,x_near0_frac,x_min,x_max,x_std,y_exact0_frac,y_near0_frac,y_min,y_max,y_std,z_exact0_frac,z_near0_frac,z_min,z_max,z_std,w_exact0_frac,w_near0_frac,w_min,w_max,w_std,g_exact0_frac,g_near0_frac,g_min,g_max,g_std
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-06-15,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-06-15/trajectory_data.npz,ok,751,0.0013315579227696406,0.041278295605858856,0.00680228928104043,0.0007193580968305469,0.08726652339100838,0.08727411180734634,ee_position,"(751, 6)","(751, 3)",0.002663115845539281,0.13981358189081225,-0.00844457745552063,0.003727031871676445,0.00232138903811574,0.002663115845539281,0.170439414114514,-0.008282661437988281,0.0026863403618335724,0.001964450580999255,0.02130492676431425,0.041278295605858856,-0.02660077065229416,0.004415631294250488,0.0014827809063717723,0.9440745672436751,0.9440745672436751,-0.08726668357849121,0.08726668357849121,0.020637258887290955,0.996005326231691,0.996005326231691,-0.029999999329447746,0.029999999329447746,0.0018956817220896482
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-07-43,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-07-43/trajectory_data.npz,ok,523,0.0019120458891013384,0.05927342256214149,0.0027179180178791285,0.0014568169135600328,0.009968334063887595,0.03007366880774498,ee_position,"(523, 6)","(523, 3)",0.0038240917782026767,0.15296367112810708,-0.008612245321273804,0.002719089388847351,0.0029934176709502935,0.0038240917782026767,0.15296367112810708,-0.00773128867149353,0.0016739033162593842,0.002086720196530223,0.030592734225621414,0.06692160611854685,-0.02660077065229416,0.00415077805519104,0.0015467704506590962,1.0,1.0,0.0,0.0,0.0,0.994263862332696,0.994263862332696,-0.029999999329447746,0.029999999329447746,0.0022713947109878063
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-12-09,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-12-09/trajectory_data.npz,ok,459,0.002178649237472767,0.06753812636165578,0.0025198529474437237,0.0011591537622734904,0.008188255596905945,0.030136410146951675,ee_position,"(459, 6)","(459, 3)",0.004357298474945534,0.18736383442265794,-0.003251969814300537,0.0024734381586313248,0.00095109868561849,0.004357298474945534,0.1895424836601307,-0.00846138596534729,0.0029395930469036102,0.0028272392228245735,0.034858387799564274,0.06753812636165578,-0.02660077065229416,0.004428833723068237,0.0017670291708782315,1.0,1.0,0.0,0.0,0.0,0.9934640522875817,0.9934640522875817,-0.029999999329447746,0.029999999329447746,0.0024244750384241343
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-14-12,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-14-12/trajectory_data.npz,ok,1274,0.0007849293563579278,0.02433281004709576,0.003981819376349449,0.000980404089204967,0.0061510681640356765,0.08740092068910599,ee_position,"(1274, 6)","(1274, 3)",0.0015698587127158557,0.06593406593406594,-0.003975436091423035,0.0035194549709558487,0.0010180507088080049,0.002354788069073783,0.07927786499215071,-0.006548278033733368,0.002411454916000366,0.0014304922660812736,0.012558869701726845,0.038461538461538464,-0.02660077065229416,0.005838543176651001,0.0013752453960478306,0.9725274725274725,0.9725274725274725,-0.08726644515991211,0.08726644515991211,0.014464110136032104,0.9960753532182104,0.9960753532182104,-0.029999999329447746,0.029999999329447746,0.0018792626215144992
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-15-26,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-15-26/trajectory_data.npz,ok,601,0.0016638935108153079,0.051580698835274545,0.00731107359752059,0.0011665968922898173,0.0872664600610733,0.08768478035926819,ee_position,"(601, 6)","(601, 3)",0.0033277870216306157,0.18136439267886856,-0.0024260850623250008,0.0021138619631528854,0.0004914678866043687,0.0033277870216306157,0.16139767054908485,-0.008529365062713623,0.0024364888668060303,0.0025832359679043293,0.026622296173044926,0.051580698835274545,-0.02660077065229416,0.0058779120445251465,0.001918251859024167,0.940099833610649,0.940099833610649,-0.08726668357849121,0.08726668357849121,0.02135803923010826,0.9950083194675541,0.9950083194675541,-0.029999999329447746,0.029999999329447746,0.00211896700784564
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-16-19,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-16-19/trajectory_data.npz,ok,537,0.00186219739292365,0.05772811918063315,0.003244792576879263,0.0019790055230259895,0.008274312503635884,0.03071831911802292,ee_position,"(537, 6)","(537, 3)",0.0037243947858473,0.23649906890130354,-0.005644738674163818,0.004558000713586807,0.001780998078174889,0.0037243947858473,0.23649906890130354,-0.008418828248977661,0.006750322878360748,0.0031465375795960426,0.0297951582867784,0.05772811918063315,-0.02660077065229416,0.006350919604301453,0.0022124501410871744,1.0,1.0,0.0,0.0,0.0,0.994413407821229,0.994413407821229,-0.029999999329447746,0.029999999329447746,0.0022416093852370977
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-21-40,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-21-40/trajectory_data.npz,ok,402,0.0024875621890547263,0.0945273631840796,0.0026302607730031013,0.0006818257970735431,0.01038530496880412,0.030554519966244698,ee_position,"(402, 6)","(402, 3)",0.004975124378109453,0.263681592039801,-0.00038592424243688583,0.007976919412612915,0.002219234360381961,0.004975124378109453,0.26119402985074625,-0.007878720760345459,0.0006212592124938965,0.002388980705291033,0.03980099502487562,0.0945273631840796,-0.02660077065229416,0.005004808306694031,0.0018215228337794542,1.0,1.0,0.0,0.0,0.0,0.9925373134328358,0.9925373134328358,-0.029999999329447746,0.029999999329447746,0.0025905307848006487
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-23-24,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-23-24/trajectory_data.npz,ok,586,0.0017064846416382253,0.052901023890784986,0.0088778892531991,0.0010341774905100465,0.0872693695127964,0.08729259669780731,ee_position,"(586, 6)","(586, 3)",0.0034129692832764505,0.20648464163822525,-0.0014773309230804443,0.007095649838447571,0.001564385718666017,0.0034129692832764505,0.15017064846416384,-0.008549690246582031,0.004767473787069321,0.002962959697470069,0.027303754266211604,0.052901023890784986,-0.02660077065229416,0.0040910691022872925,0.0015639407793059945,0.9249146757679181,0.9249146757679181,-0.08726668357849121,0.08726668357849121,0.023910637944936752,0.9948805460750854,0.9948805460750854,-0.029999999329447746,0.029999999329447746,0.002145900158211589
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-24-38,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-24-38/trajectory_data.npz,ok,601,0.0016638935108153079,0.05823627287853577,0.0025320155546069145,0.0011362847872078419,0.010358409024775028,0.030283907428383827,ee_position,"(601, 6)","(601, 3)",0.0033277870216306157,0.17637271214642264,-0.002406548708677292,0.008157819509506226,0.0019946321845054626,0.0033277870216306157,0.17970049916805325,-0.008515536785125732,0.003710545599460602,0.0028748828917741776,0.026622296173044926,0.059900166389351084,-0.02660077065229416,0.005110785365104675,0.0016825416823849082,1.0,1.0,0.0,0.0,0.0,0.9950083194675541,0.9950083194675541,-0.029999999329447746,0.029999999329447746,0.00211896700784564
HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-25-22,/root/repo/cdpr_synth_10hz/videos/HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-25-22/trajectory_data.npz,ok,957,0.0010449320794148381,0.06478578892371996,0.007951328530907631,0.0009230602881871164,0.08727278411388398,0.08798541873693466,ee_position,"(957, 6)","(957, 3)",0.0020898641588296763,0.1400208986415883,-0.0012463387101888657,0.008251592516899109,0.0017253238474950194,0.0020898641588296763,0.1703239289446186,-0.007861942052841187,0.0017570853233337402,0.0017701095202937722,0.029258098223615466,0.06896551724137931,-0.02660077065229416,0.006262868642807007,0.0016775900730863214,0.928944618599791,0.928944618599791,-0.08726668357849121,0.08726668357849121,0.023261934518814087,0.9926854754440961,0.9926854754440961,-0.029999999329447746,0.029999999329447746,0.0025655580684542656
